date,avg,min,max
3/26 08:17,0.126,0.123,0.129
3/26 06:05,0.126,0.123,0.13
3/26 03:17,0.125,0.121,0.129
3/26 01:05,0.125,0.121,0.128
3/25 33:17,0.125,0.122,0.129
3/25 31:05,0.125,0.122,0.129
3/25 28:17,0.126,0.122,0.129
3/25 26:05,0.126,0.123,0.129
3/25 36:05,0.126,0.123,0.13
3/25 33:17,0.126,0.124,0.13
3/25 31:05,0.127,0.124,0.132
3/25 28:17,0.127,0.123,0.133
3/25 26:05,0.129,0.126,0.131
3/25 23:17,0.129,0.127,0.133
3/25 21:05,0.13,0.126,0.133
3/25 18:17,0.13,0.127,0.134
3/25 16:05,0.129,0.126,0.133
3/25 13:17,0.132,0.128,0.138
3/25 23:17,0.132,0.129,0.135
3/25 21:05,0.132,0.129,0.135
3/25 18:17,0.132,0.129,0.137
3/25 16:05,0.132,0.129,0.137
3/25 13:17,0.132,0.129,0.135
3/25 11:05,0.132,0.13,0.136
3/25 08:17,0.133,0.129,0.137
3/25 06:05,0.134,0.131,0.138
3/25 03:17,0.134,0.131,0.137
3/25 01:05,0.134,0.131,0.138
3/24 33:17,0.134,0.132,0.138
3/24 31:05,0.135,0.131,0.139
3/24 28:17,0.135,0.13,0.138
3/24 26:05,0.134,0.129,0.138
3/24 36:05,0.134,0.13,0.137
3/24 33:17,0.134,0.131,0.137
3/24 31:05,0.135,0.132,0.139
3/24 28:17,0.136,0.132,0.139
3/24 26:05,0.136,0.133,0.14
3/24 23:17,0.136,0.132,0.139
3/24 21:05,0.137,0.133,0.142
3/24 18:17,0.138,0.134,0.141
3/24 16:05,0.138,0.134,0.142
3/24 13:17,0.138,0.133,0.141
3/24 23:17,0.138,0.134,0.143
3/24 21:05,0.139,0.136,0.142
3/24 18:17,0.139,0.134,0.142
3/24 16:05,0.139,0.133,0.142
3/24 13:17,0.139,0.136,0.143
3/24 11:05,0.139,0.136,0.143
3/24 08:17,0.139,0.137,0.144
3/24 06:05,0.139,0.136,0.143
3/24 03:17,0.14,0.137,0.143
3/24 01:05,0.14,0.137,0.144
3/23 33:17,0.141,0.137,0.145
3/23 31:05,0.143,0.139,0.147
3/23 28:17,0.146,0.141,0.15
3/23 26:05,0.148,0.144,0.152
3/23 36:05,0.147,0.143,0.154
3/23 33:17,0.144,0.139,0.147
3/23 31:05,0.145,0.139,0.15
3/23 28:17,0.146,0.139,0.15
3/23 26:05,0.143,0.139,0.146
3/23 23:17,0.143,0.138,0.147
3/23 21:05,0.144,0.138,0.148
3/23 18:17,0.144,0.14,0.148
3/23 16:05,0.145,0.141,0.147
3/23 13:17,0.145,0.143,0.15
3/23 23:17,0.146,0.142,0.149
3/23 21:05,0.146,0.143,0.15
3/23 18:17,0.146,0.143,0.15
3/23 16:05,0.147,0.142,0.151
3/23 13:17,0.147,0.143,0.151
3/23 11:05,0.148,0.142,0.152
3/23 08:17,0.149,0.145,0.153
3/23 06:05,0.152,0.149,0.158
3/23 03:17,0.152,0.147,0.158
3/23 01:05,0.154,0.15,0.158
3/22 33:17,0.154,0.15,0.158
3/22 31:05,0.151,0.146,0.16
3/22 28:17,0.151,0.146,0.155
3/22 26:05,0.155,0.14,0.166
3/22 36:05,0.141,0.136,0.145
3/22 33:17,0.14,0.136,0.144
